WS			00:00

AWS	01:09	01:00	01:30

TER	01:12	03:00	03:30

FH	01:07	04:30	05:00

LD	01:00	06:00	06:30

PJ	00:45	07:30	08:00

GRE	00:42	08:30	09:00

MOH	00:41	10:00	10:30

WE	00:48	11:00	12:00

BS	00:46	13:00	13:30

FH	00:50	14:00	14:30

BR	01:03	16:00	16:30

PE	00:46	17:00	17:30

LP	00:48	18:30	19:00

FR	00:49	20:00	20:30

HBF	01:02	21:30	22:30

SCH	01:00	23:30	24:00

BKS	01:59	26:00	26:30

RM	00:55	27:30	28:00

OP	00:57	29:00	30:00

ZI	02:05	32:00	32:30

KW	01:30	34:00	34:30

LST	02:09	37:00	37:30

ILB	01:37	39:00	39:30

NP	01:11	41:00	
